id,name,stats
4643,Vigilant Wardstone,"['Health', 'SpellBlock', 'Armor', 'Vision', 'Active', 'CooldownReduction', 'AbilityHaste']"
4645,Shadowflame,"['SpellDamage', 'MagicPenetration', 'FlatMagicPenetration']"
4646,Stormsurge,"['SpellDamage', 'GoldPer', 'NonbootsMovement', 'MagicPenetration', 'FlatMagicPenetration']"
6333,Death's Dance,"['Armor', 'Damage', 'AbilityHaste']"
6609,Chempunk Chainsword,"['Health', 'Damage', 'CooldownReduction', 'AbilityHaste']"
6610,Sundered Sky,"['Health', 'Damage', 'CooldownReduction', 'AbilityHaste']"
6616,Staff of Flowing Water,"['SpellDamage', 'ManaRegen', 'CooldownReduction', 'AbilityHaste']"
6617,Moonstone Renewer,"['Health', 'SpellDamage', 'ManaRegen', 'CooldownReduction', 'AbilityHaste']"
6620,Echoes of Helia,"['Health', 'SpellDamage', 'ManaRegen', 'CooldownReduction', 'AbilityHaste']"
6621,Dawncore,"['SpellDamage', 'ManaRegen']"
6631,Stridebreaker,"['Health', 'Damage', 'AttackSpeed', 'Slow']"
6653,Liandry's Torment,"['Health', 'SpellDamage']"
6655,Luden's Echo,"['SpellDamage', 'Mana', 'CooldownReduction', 'AbilityHaste']"
6657,Rod of Ages,"['Health', 'HealthRegen', 'SpellDamage', 'Mana', 'ManaRegen']"
6662,Iceborn Gauntlet,"['Health', 'Armor', 'CooldownReduction', 'Slow', 'OnHit', 'AbilityHaste']"
6664,Hollow Radiance,"['Health', 'SpellBlock', 'HealthRegen', 'Aura', 'MagicResist', 'AbilityHaste']"
6665,"Jak'Sho, The Protean","['Health', 'SpellBlock', 'Armor', 'MagicResist']"
6672,Kraken Slayer,"['Damage', 'AttackSpeed', 'OnHit', 'NonbootsMovement']"
6673,Immortal Shieldbow,"['Damage', 'CriticalStrike', 'Shield']"
6675,Navori Flickerblade,"['CriticalStrike', 'AttackSpeed', 'NonbootsMovement']"
6676,The Collector,"['Damage', 'CriticalStrike', 'ArmorPenetration', 'Lethality']"
6692,Eclipse,"['Damage', 'CooldownReduction', 'AbilityHaste', 'Shield']"
6694,Serylda's Grudge,"['Damage', 'CooldownReduction', 'ArmorPenetration', 'AbilityHaste']"
6695,Serpent's Fang,"['Damage', 'ArmorPenetration', 'Lethality']"
6696,Axiom Arc,"['Damage', 'ArmorPenetration', 'AbilityHaste', 'Lethality']"
6697,Hubris,"['Damage', 'Active', 'CooldownReduction', 'ArmorPenetration', 'AbilityHaste', 'Lethality']"
6698,Profane Hydra,"['Damage', 'Active', 'CooldownReduction', 'ArmorPenetration', 'AbilityHaste', 'Lethality']"
6699,Voltaic Cyclosword,"['Damage', 'Active', 'CooldownReduction', 'ArmorPenetration', 'AbilityHaste', 'Lethality']"
6701,Opportunity,"['Damage', 'Active', 'NonbootsMovement', 'ArmorPenetration', 'Lethality']"
8010,Bloodletter's Curse,"['Health', 'SpellDamage', 'CooldownReduction', 'MagicPenetration', 'FlatMagicPenetration']"
8020,Abyssal Mask,"['Health', 'SpellBlock', 'CooldownReduction', 'MagicResist', 'AbilityHaste']"
123430,Rite of Ruin,"['CriticalStrike', 'SpellDamage', 'CooldownReduction', 'NonbootsMovement']"
124011,Sword of Blossoming Dawn,"['Health', 'SpellDamage', 'CooldownReduction', 'OnHit', 'AbilityHaste']"
126697,Hubris,"['Damage', 'Active', 'CooldownReduction', 'ArmorPenetration', 'AbilityHaste', 'Lethality']"
322065,Shurelya's Battlesong,"['SpellDamage', 'ManaRegen', 'Active', 'CooldownReduction', 'NonbootsMovement', 'AbilityHaste']"
323002,Trailblazer,"['Health', 'Armor', 'NonbootsMovement']"
323003,Archangel's Staff,"['SpellDamage', 'Mana', 'AbilityHaste']"
323004,Manamune,"['Damage', 'Mana', 'CooldownReduction', 'OnHit', 'AbilityHaste']"
323050,Zeke's Convergence,"['Health', 'SpellBlock', 'Armor', 'AbilityHaste']"
323075,Thornmail,"['Health', 'Armor']"
323107,Redemption,"['SpellDamage', 'ManaRegen', 'CooldownReduction', 'AbilityHaste']"
323109,Knight's Vow,"['Health', 'HealthRegen', 'Armor', 'Aura', 'Active', 'CooldownReduction', 'AbilityHaste']"
323110,Frozen Heart,"['Armor', 'Mana', 'Aura', 'CooldownReduction', 'AbilityHaste', 'AttackSpeedReduction']"
323119,Winter's Approach,"['Health', 'Mana', 'AbilityHaste']"
323190,Locket of the Iron Solari,"['Health', 'SpellBlock', 'Armor', 'Aura', 'Active', 'MagicResist', 'AbilityHaste']"
323222,Mikael's Blessing,"['Health', 'ManaRegen', 'Active', 'CooldownReduction', 'Tenacity', 'AbilityHaste']"
323504,Ardent Censer,"['AttackSpeed', 'SpellDamage', 'ManaRegen', 'NonbootsMovement']"
324005,Imperial Mandate,"['SpellDamage', 'ManaRegen', 'CooldownReduction', 'AbilityHaste']"
326616,Staff of Flowing Water,"['SpellDamage', 'ManaRegen', 'CooldownReduction', 'AbilityHaste']"
326617,Moonstone Renewer,"['Health', 'SpellDamage', 'ManaRegen', 'CooldownReduction', 'AbilityHaste']"
326620,Echoes of Helia,"['Health', 'SpellDamage', 'ManaRegen', 'CooldownReduction', 'AbilityHaste']"
326621,Dawncore,"['SpellDamage', 'ManaRegen']"
326657,Rod of Ages,"['Health', 'HealthRegen', 'SpellDamage', 'Mana', 'ManaRegen']"
328020,Abyssal Mask,"['Health', 'SpellBlock', 'CooldownReduction', 'MagicResist', 'AbilityHaste']"
667666,The Collector,"['Damage', 'CriticalStrike', 'ArmorPenetration', 'Lethality']"
