id,name,alias,counters
31,cho'gath,chogath,"[{'Tenacity': 'cc2'}, 'ArmorPenetration', 'PercentMagicPenetration']"
32,amumu,amumu,"[{'Tenacity': 'cc1'}, 'ArmorPenetration', 'PercentMagicPenetration']"
33,rammus,rammus,"[{'Tenacity': 'cc1'}, 'ArmorPenetration', 'PercentMagicPenetration']"
34,anivia,anivia,"['SpellBlock', 'Shield', {'Tenacity': 'cc1'}]"
35,shaco,shaco,"[{'Tenacity': 'cc1'}, 'CriticalStrikeReduction']"
36,dr. mundo,drmundo,"['GrievousWounds', 'ArmorPenetration', 'PercentMagicPenetration']"
37,sona,sona,"['GrievousWounds', {'Tenacity': 'cc2'}]"
38,kassadin,kassadin,"['SpellBlock', 'Shield']"
39,irelia,irelia,"['Armor', 'Shield', 'AttackSpeedReduction']"
40,janna,janna,['GrievousWounds']
41,gangplank,gangplank,"['Armor', 'Shield', 'CriticalStrikeReduction']"
42,corki,corki,"['AttackSpeedReduction', 'CriticalStrikeReduction']"
43,karma,karma,"['SpellBlock', 'Shield', {'Tenacity': 'cc1'}]"
44,taric,taric,"['GrievousWounds', 'ArmorPenetration', 'PercentMagicPenetration']"
45,veigar,veigar,"['SpellBlock', 'Shield', {'Tenacity': 'cc1'}]"
48,trundle,trundle,"['GrievousWounds', 'ArmorPenetration']"
50,swain,swain,"['GrievousWounds', 'SpellBlock', 'Shield', {'Tenacity': 'cc2'}]"
51,caitlyn,caitlyn,"['Armor', 'Shield', 'AttackSpeedReduction', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
53,blitzcrank,blitzcrank,"['ArmorPenetration', 'PercentMagicPenetration']"
54,malphite,malphite,"[{'Tenacity': 'cc2'}, 'ArmorPenetration', 'PercentMagicPenetration']"
55,katarina,katarina,"['SpellBlock', 'Shield']"
56,nocturne,nocturne,"['Armor', 'Shield', {'Tenacity': 'cc2'}, 'CriticalStrikeReduction']"
57,maokai,maokai,"[{'Tenacity': 'cc1'}, 'ArmorPenetration', 'PercentMagicPenetration']"
58,renekton,renekton,"['CriticalStrikeReduction', 'ArmorPenetration']"
59,jarvan iv,jarvaniv,['ArmorPenetration']
60,elise,elise,"['SpellBlock', 'Shield']"
61,orianna,orianna,"['SpellBlock', 'Shield']"
62,wukong,monkeyking,['ArmorPenetration']
63,brand,brand,"['SpellBlock', 'Shield', {'Tenacity': 'cc2'}, 'SpellBlock-Health']"
64,lee sin,leesin,"['Armor', 'Shield']"
67,vayne,vayne,"['Armor', 'Shield', 'Lethality', 'FlatMagicPenetration']"
68,rumble,rumble,"['SpellBlock', 'Shield', 'SpellBlock-Health']"
69,cassiopeia,cassiopeia,"['SpellBlock', 'Shield', {'Tenacity': 'cc2'}, 'SpellBlock-Health']"
72,skarner,skarner,"[{'Tenacity': 'cc2'}, 'ArmorPenetration']"
74,heimerdinger,heimerdinger,['SpellBlock-Health']
75,nasus,nasus,"[{'Tenacity': 'cc2'}, 'CriticalStrikeReduction', 'ArmorPenetration']"
76,nidalee,nidalee,"['SpellBlock', 'Shield', 'CriticalStrikeReduction']"
77,udyr,udyr,"['AttackSpeedReduction', 'ArmorPenetration', 'PercentMagicPenetration']"
78,poppy,poppy,"[{'Tenacity': 'cc2'}, 'ArmorPenetration']"
79,gragas,gragas,"['SpellBlock', 'Shield', {'Tenacity': 'cc2'}]"
80,pantheon,pantheon,"['Armor', 'Shield', {'Tenacity': 'cc2'}]"
81,ezreal,ezreal,"['Armor', 'LifeSteal', 'HealthRegen', 'Lethality', 'FlatMagicPenetration']"
82,mordekaiser,mordekaiser,"['ArmorPenetration', 'PercentMagicPenetration', 'SpellBlock-Health']"
83,yorick,yorick,['ArmorPenetration']
84,akali,akali,"['SpellBlock', 'Shield']"
85,kennen,kennen,"['SpellBlock', 'Shield', 'AttackSpeedReduction']"
86,garen,garen,"['CriticalStrikeReduction', 'ArmorPenetration', 'Armor-Health']"
89,leona,leona,"[{'Tenacity': 'cc1'}, 'ArmorPenetration', 'PercentMagicPenetration']"
90,malzahar,malzahar,"['SpellBlock', 'Shield', 'SpellBlock-Health']"
91,talon,talon,"['Armor', 'Shield']"
92,riven,riven,"['Armor', 'Shield', 'CriticalStrikeReduction']"
96,kog'maw,kogmaw,"['AttackSpeedReduction', 'Lethality', 'FlatMagicPenetration']"
98,shen,shen,"[{'Tenacity': 'cc2'}, 'ArmorPenetration', 'PercentMagicPenetration']"
99,lux,lux,"['SpellBlock', 'Shield', {'Tenacity': 'cc2'}]"
101,xerath,xerath,"['SpellBlock', 'LifeSteal', 'SpellVamp']"
102,shyvana,shyvana,"['AttackSpeedReduction', 'CriticalStrikeReduction', 'ArmorPenetration', 'PercentMagicPenetration']"
103,ahri,ahri,"['SpellBlock', 'Shield', {'Tenacity': 'cc1'}]"
104,graves,graves,"['Armor', 'Shield', 'AttackSpeedReduction', 'CriticalStrikeReduction']"
105,fizz,fizz,"['SpellBlock', 'Shield']"
106,volibear,volibear,"['AttackSpeedReduction', 'ArmorPenetration', 'PercentMagicPenetration']"
107,rengar,rengar,"['Armor', 'Shield', 'CriticalStrikeReduction']"
110,varus,varus,"['Armor', 'LifeSteal', 'HealthRegen', 'AttackSpeedReduction', 'Lethality', 'FlatMagicPenetration']"
111,nautilus,nautilus,"[{'Tenacity': 'cc2'}, 'ArmorPenetration', 'PercentMagicPenetration']"
112,viktor,viktor,"['SpellBlock', 'Shield', 'CriticalStrikeReduction', 'SpellBlock-Health']"
113,sejuani,sejuani,"[{'Tenacity': 'cc1'}, 'ArmorPenetration', 'PercentMagicPenetration']"
114,fiora,fiora,"['Armor', 'Shield', 'CriticalStrikeReduction']"
115,ziggs,ziggs,"['SpellBlock', 'LifeSteal', 'SpellVamp', 'Lethality', 'FlatMagicPenetration']"
117,lulu,lulu,[{'Tenacity': 'cc2'}]
119,draven,draven,"['Armor', 'Shield', 'AttackSpeedReduction', 'Lethality', 'FlatMagicPenetration']"
120,hecarim,hecarim,"['CriticalStrikeReduction', 'ArmorPenetration']"
121,kha'zix,khazix,"['Armor', 'Shield', {'Tenacity': 'cc2'}]"
122,darius,darius,"['GrievousWounds', 'CriticalStrikeReduction', 'ArmorPenetration']"
126,jayce,jayce,['CriticalStrikeReduction']
127,lissandra,lissandra,"['SpellBlock', 'Shield', {'Tenacity': 'cc1'}]"
131,diana,diana,"['SpellBlock', 'Shield']"
133,quinn,quinn,"['Armor', 'Shield', 'CriticalStrikeReduction']"
134,syndra,syndra,"['SpellBlock', 'Shield', {'Tenacity': 'cc2'}]"
136,aurelion sol,aurelionsol,"['SpellBlock', 'Shield']"
141,kayn,kayn,"['Armor', 'Shield', 'ArmorPenetration']"
142,zoe,zoe,"['SpellBlock', 'Shield', {'Tenacity': 'cc2'}]"
143,zyra,zyra,[{'Tenacity': 'cc1'}]
145,kai'sa,kaisa,"['AttackSpeedReduction', 'Lethality', 'FlatMagicPenetration']"
147,seraphine,seraphine,"['GrievousWounds', 'SpellBlock', 'Shield', {'Tenacity': 'cc1'}, 'Lethality', 'FlatMagicPenetration']"
150,gnar,gnar,"[{'Tenacity': 'cc2'}, 'AttackSpeedReduction', 'ArmorPenetration']"
154,zac,zac,"['GrievousWounds', 'ArmorPenetration', 'PercentMagicPenetration']"
157,yasuo,yasuo,"['Armor', 'Shield', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
161,vel'koz,velkoz,"['SpellBlock', 'LifeSteal', 'SpellVamp', {'Tenacity': 'cc2'}]"
163,taliyah,taliyah,"['SpellBlock', 'Shield']"
164,camille,camille,"['Armor', 'Shield']"
166,akshan,akshan,"['Armor', 'Shield', 'CriticalStrikeReduction']"
200,bel'veth,belveth,"['AttackSpeedReduction', 'CriticalStrikeReduction']"
201,braum,braum,"[{'Tenacity': 'cc1'}, 'ArmorPenetration', 'PercentMagicPenetration']"
202,jhin,jhin,"['Armor', 'Shield', {'Tenacity': 'cc1'}, 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
203,kindred,kindred,"['AttackSpeedReduction', 'CriticalStrikeReduction']"
221,zeri,zeri,"['Armor', 'Shield', {'Tenacity': 'cc2'}, 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
222,jinx,jinx,"['AttackSpeedReduction', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
223,tahm kench,tahmkench,"[{'Tenacity': 'cc2'}, 'ArmorPenetration', 'PercentMagicPenetration']"
233,briar,briar,"['GrievousWounds', 'Armor', 'Shield', 'CriticalStrikeReduction']"
234,viego,viego,"['Armor', 'Shield', 'CriticalStrikeReduction']"
235,senna,senna,"[{'Tenacity': 'cc2'}, 'AttackSpeedReduction', 'Lethality', 'FlatMagicPenetration']"
236,lucian,lucian,"['Armor', 'Shield', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
238,zed,zed,"['Armor', 'Shield']"
240,kled,kled,['ArmorPenetration']
245,ekko,ekko,"['SpellBlock', 'Shield', {'Tenacity': 'cc2'}]"
246,qiyana,qiyana,"['Armor', 'Shield']"
254,vi,vi,"['Armor', 'Shield', 'AttackSpeedReduction', 'CriticalStrikeReduction']"
266,aatrox,aatrox,"['GrievousWounds', 'ArmorPenetration', 'Armor-Health']"
267,nami,nami,"['GrievousWounds', {'Tenacity': 'cc1'}]"
268,azir,azir,['AttackSpeedReduction']
350,yuumi,yuumi,['GrievousWounds']
360,samira,samira,"['Armor', 'Shield', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
412,thresh,thresh,"[{'Tenacity': 'cc2'}, 'ArmorPenetration', 'PercentMagicPenetration']"
420,illaoi,illaoi,"['GrievousWounds', 'ArmorPenetration']"
421,rek'sai,reksai,"['CriticalStrikeReduction', 'ArmorPenetration']"
427,ivern,ivern,[{'Tenacity': 'cc2'}]
429,kalista,kalista,"['AttackSpeedReduction', 'Lethality', 'FlatMagicPenetration']"
432,bard,bard,[{'Tenacity': 'cc1'}]
497,rakan,rakan,"['GrievousWounds', {'Tenacity': 'cc2'}]"
498,xayah,xayah,"['AttackSpeedReduction', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
516,ornn,ornn,"[{'Tenacity': 'cc2'}, 'ArmorPenetration', 'PercentMagicPenetration']"
517,sylas,sylas,"['SpellBlock', 'Shield', {'Tenacity': 'cc2'}, 'CriticalStrikeReduction']"
518,neeko,neeko,"['SpellBlock', 'Shield', {'Tenacity': 'cc1'}]"
523,aphelios,aphelios,"[{'Tenacity': 'cc2'}, 'AttackSpeedReduction', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
526,rell,rell,"['ArmorPenetration', 'PercentMagicPenetration']"
555,pyke,pyke,"['Armor', 'Shield']"
711,vex,vex,"['SpellBlock', 'Shield', {'Tenacity': 'cc2'}]"
777,yone,yone,"['Armor', 'Shield', 'CriticalStrikeReduction']"
799,ambessa,ambessa,"['Armor', 'Shield', 'ArmorPenetration']"
800,mel,mel,"['SpellBlock', 'LifeSteal', 'SpellVamp']"
804,yunara,yunara,"['AttackSpeedReduction', 'CriticalStrikeReduction', 'Armor-Health', 'Lethality', 'FlatMagicPenetration']"
875,sett,sett,"[{'Tenacity': 'cc2'}, 'ArmorPenetration']"
876,lillia,lillia,"[{'Tenacity': 'cc2'}, 'SpellBlock-Health']"
887,gwen,gwen,['SpellBlock-Health']
888,renata glasc,renata,[]
893,aurora,aurora,"['SpellBlock', 'Shield']"
895,nilah,nilah,"['GrievousWounds', 'Armor', 'Shield', 'AttackSpeedReduction', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
897,k'sante,ksante,['ArmorPenetration']
901,smolder,smolder,"['CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
902,milio,milio,['GrievousWounds']
904,zaahen,zaahen,"['Armor', 'Shield', 'CriticalStrikeReduction']"
910,hwei,hwei,"['SpellBlock', 'LifeSteal', 'SpellVamp']"
950,naafiri,naafiri,"['Armor', 'Shield']"
