champ_id,item_ids
11,"['2512', '2517', '3031', '3032', '3033', '3036', '3053', '3073', '3091', '3124', '3139', '3143', '3153', '3181', '3302', '3748', '3877', '6333', '6665', '6672', '6673', '6675', '6676']"
12,"['2065', '2504', '2524', '2525', '3002', '3050', '3075', '3107', '3109', '3110', '3143', '3152', '3190', '3222', '3742', '3869', '3871', '3876', '3877', '4646', '8020']"
13,"['2522', '3003', '3041', '3089', '3102', '3110', '3119', '3135', '3137', '3157', '3165', '4629', '4645', '6655', '6657']"
14,"['2501', '2502', '2504', '2520', '2524', '2525', '3031', '3033', '3036', '3065', '3068', '3075', '3084', '3110', '3142', '3143', '3179', '3181', '3748', '3869', '3877', '4401', '6610', '6653', '6664', '6665', '6676', '6695', '6696', '6701']"
15,"['2512', '3031', '3032', '3033', '3036', '3046', '3072', '3087', '3156', '3508', '6673', '6675', '3026']"
16,"['2065', '2524', '3083', '3107', '3190', '3222', '3504', '3869', '3870', '3871', '3876', '6616', '6617', '6620', '6621']"
17,"['2503', '2510', '3041', '3089', '3091', '3102', '3115', '3118', '3124', '3135', '3137', '3146', '3153', '3157', '3165', '3871', '4633', '4645', '4646', '6653', '8010']"
18,"['2523', '3031', '3032', '3033', '3036', '3072', '3094', '3097', '3139', '3153', '3156', '6672', '6673', '6675', '6676', '3026']"
19,"['2504', '2510', '2517', '2524', '2525', '3053', '3065', '3073', '3074', '3075', '3091', '3110', '3124', '3143', '3153', '3156', '3181', '3302', '3742', '3748', '4401', '6333', '6631', '6665', '6672']"
20,"['2504', '2524', '2525', '3041', '3065', '3068', '3075', '3089', '3102', '3109', '3110', '3135', '3143', '3152', '3157', '3742', '3869', '4401', '4645', '4646', '6653', '6657', '6664', '6665', '8010', '8020']"
21,"['2503', '2512', '2520', '2523', '3031', '3033', '3036', '3072', '3094', '3142', '3156', '3179', '3508', '3814', '3871', '6653', '6672', '6673', '6676', '6694', '6695', '6696', '6697', '6701']"
22,"['2512', '2523', '2524', '3004', '3031', '3032', '3033', '3036', '3046', '3072', '3085', '3091', '3097', '3118', '3139', '3153', '3179', '3302', '3871', '3876', '3877', '4005', '6620', '6672', '6673', '6695', '6696', '3026']"
23,"['2512', '2517', '2520', '3031', '3032', '3033', '3036', '3046', '3072', '3074', '3091', '3097', '3139', '3153', '3181', '3508', '6333', '6631', '6672', '6675', '6676', '6694', '6695', '6698', '6699', '6701']"
24,"['2504', '2510', '2517', '3053', '3074', '3078', '3089', '3091', '3110', '3115', '3124', '3143', '3146', '3153', '3156', '3157', '3161', '3181', '3748', '4633', '6333', '6610', '6631', '6665', '3026']"
25,"['2065', '2503', '2524', '3041', '3089', '3102', '3107', '3116', '3137', '3157', '3165', '3190', '3222', '3869', '3870', '3871', '3876', '4005', '4628', '4645', '6620', '6653', '6655', '8010']"
26,"['2065', '2503', '2524', '2525', '3002', '3003', '3041', '3089', '3102', '3107', '3109', '3110', '3119', '3157', '3165', '3190', '3222', '3504', '3869', '3870', '3871', '3876', '4005', '4628', '4629', '6655', '6657']"
27,"['2504', '2524', '2525', '3041', '3050', '3089', '3110', '3116', '3143', '3152', '3157', '3742', '3869', '3876', '4401', '4633', '4645', '6653', '6657', '6665', '8010']"
28,"['3041', '3089', '3100', '3102', '3135', '3152', '3157', '3871', '4645', '4646', '3026']"
29,"['2512', '2523', '3031', '3032', '3033', '3036', '3041', '3072', '3085', '3089', '3097', '3102', '3115', '3139', '3153', '3157', '3869', '3871', '3877', '4645', '6672', '6676', '6696', '3026']"
30,"['2503', '2522', '3003', '3041', '3089', '3116', '3118', '3135', '3137', '3157', '3165', '3871', '4628', '4645', '4646', '6653', '6655']"
31,"['2065', '2502', '2504', '2524', '2525', '3041', '3065', '3068', '3075', '3083', '3084', '3089', '3110', '3143', '3152', '3157', '3742', '3748', '3869', '3871', '3876', '4401', '4629', '4633', '4645', '6655', '6657', '6664', '6665', '8020']"
32,"['2502', '2504', '2524', '2525', '3050', '3068', '3075', '3107', '3109', '3110', '3118', '3143', '3157', '3190', '3869', '3871', '3876', '4401', '4633', '6653', '6664', '6665', '8010', '8020']"
33,"['2502', '2504', '2524', '2525', '3068', '3075', '3110', '3143', '3742', '3869', '3876', '3877', '4401', '6664', '6665', '8020']"
34,"['2522', '2524', '3003', '3041', '3089', '3102', '3116', '3118', '3119', '3135', '3137', '3157', '3165', '3869', '3871', '3876', '4645', '6653', '6657', '8010']"
35,"['2503', '2512', '2520', '3031', '3033', '3036', '3041', '3089', '3097', '3118', '3137', '3142', '3153', '3157', '3165', '3179', '3508', '3814', '3871', '3877', '4005', '4628', '4629', '4645', '4646', '6653', '6655', '6673', '6676', '6694', '6695', '6697', '6698', '6699', '6701', '8010']"
36,"['2501', '2502', '2504', '2525', '3065', '3075', '3083', '3084', '3143', '3742', '3748', '4401', '6665']"
37,"['3003', '3107', '3165', '3222', '3504', '3869', '3870', '3871', '3876', '3877', '6616', '6617', '6620', '6621']"
38,"['2522', '3003', '3004', '3041', '3089', '3100', '3102', '3110', '3118', '3119', '3135', '3157', '4645', '6655', '6657']"
39,"['2517', '3053', '3078', '3091', '3110', '3143', '3153', '3156', '3181', '3302', '6333', '6609', '6610', '6665', '6672', '3026']"
40,"['2065', '2524', '3041', '3107', '3165', '3190', '3222', '3504', '3869', '3870', '3871', '3876', '3877', '4005', '6616', '6617', '6620', '6621']"
41,"['2517', '2520', '3031', '3033', '3036', '3078', '3118', '3142', '3156', '3508', '6333', '6673', '6676', '6695', '6701']"
42,"['2512', '3004', '3031', '3033', '3036', '3072', '3078', '3094', '3097', '3156', '3161', '3508', '6673', '6676', '6695']"
43,"['2065', '2524', '3003', '3107', '3118', '3165', '3190', '3222', '3504', '3869', '3870', '3871', '3876', '4005', '4628', '4629', '4645', '6616', '6617', '6620', '6621', '6655']"
44,"['2065', '2504', '2524', '2525', '3050', '3065', '3075', '3107', '3109', '3110', '3119', '3143', '3190', '3222', '3504', '3869', '3870', '3876', '3877', '4401', '6617', '6620', '6662', '8020']"
45,"['2065', '2522', '3003', '3041', '3089', '3102', '3135', '3137', '3152', '3157', '3165', '3742', '3869', '3871', '4629', '4645', '4646', '6655', '6657']"
48,"['2504', '2520', '2524', '2525', '3053', '3065', '3073', '3074', '3075', '3078', '3091', '3110', '3143', '3153', '3181', '3190', '3742', '3748', '3869', '3876', '3877', '4401', '6333', '6610', '6631', '6665', '6698']"
50,"['2502', '2503', '2504', '2522', '2524', '2525', '3041', '3050', '3065', '3075', '3110', '3116', '3118', '3119', '3143', '3157', '3165', '3869', '3871', '3876', '4401', '4633', '6620', '6653', '6657', '6665', '8010', '8020']"
51,"['2523', '3031', '3032', '3033', '3036', '3046', '3072', '3094', '3097', '3139', '3156', '6673', '6676', '6697', '3026']"
53,"['2065', '2504', '2524', '2525', '3002', '3050', '3075', '3107', '3109', '3110', '3118', '3143', '3190', '3222', '3742', '3869', '3871', '3876', '3877', '4401', '4646', '6655', '8020']"
54,"['2502', '2504', '2524', '2525', '3041', '3050', '3068', '3075', '3089', '3110', '3118', '3135', '3143', '3157', '3871', '4401', '4645', '4646', '6655', '6662', '6664', '6665', '8020']"
55,"['2510', '3041', '3089', '3091', '3100', '3102', '3115', '3135', '3146', '3153', '3157', '3302', '3748', '4633', '4645', '4646', '6333', '6653', '6665', '6672']"
56,"['2504', '2512', '2520', '3031', '3033', '3036', '3053', '3071', '3073', '3091', '3110', '3143', '3153', '3156', '3179', '3814', '6333', '6609', '6631', '6672', '6676', '6692', '6694', '6695', '6696', '6697', '6698', '6699', '6701', '3026']"
57,"['2502', '2504', '2524', '2525', '3002', '3050', '3065', '3068', '3075', '3084', '3107', '3109', '3110', '3119', '3143', '3190', '3742', '3869', '3871', '3876', '3877', '4401', '6653', '6664', '6665', '8010', '8020']"
58,"['2517', '3053', '3065', '3071', '3075', '3143', '3153', '3156', '3161', '6333', '6609', '6610', '6631', '6692', '6698']"
59,"['2504', '2520', '2524', '3053', '3065', '3071', '3075', '3110', '3143', '3156', '3161', '3179', '3190', '3748', '3814', '3869', '3877', '6333', '6610', '6692', '6694', '6695', '6696', '6698', '6701']"
60,"['2510', '3041', '3089', '3100', '3102', '3115', '3116', '3135', '3137', '3152', '3157', '3165', '3869', '3871', '3877', '4645', '4646', '6653', '6655']"
61,"['2503', '2522', '3003', '3041', '3089', '3102', '3135', '3137', '3157', '3165', '4628', '4629', '4645', '4646', '6653', '6655', '6657']"
62,"['2517', '2520', '3053', '3071', '3074', '3078', '3143', '3156', '3181', '3508', '3877', '6333', '6609', '6610', '6692', '6695', '6698', '6699']"
63,"['2503', '3041', '3089', '3102', '3116', '3118', '3135', '3137', '3157', '3165', '3869', '3871', '3876', '4645', '6653', '8010']"
64,"['2517', '3053', '3065', '3071', '3074', '3143', '3156', '3814', '3877', '6333', '6609', '6610', '6692', '6694', '6695', '6696', '6698', '6701']"
67,"['2512', '3031', '3032', '3033', '3036', '3046', '3072', '3073', '3078', '3091', '3094', '3097', '3124', '3139', '3142', '3143', '3153', '3302', '3508', '3814', '6665', '6672', '6673', '6676', '6699', '6701', '3026']"
68,"['3041', '3089', '3102', '3116', '3135', '3152', '3157', '3165', '3871', '4633', '4645', '4646', '6653', '8010']"
69,"['2503', '2522', '3003', '3041', '3089', '3102', '3116', '3135', '3137', '3157', '3165', '4629', '4633', '6653', '6657', '8010']"
72,"['2501', '2502', '2504', '2524', '2525', '3050', '3053', '3065', '3068', '3075', '3078', '3084', '3109', '3110', '3119', '3143', '3161', '3190', '3742', '3748', '3869', '3876', '3877', '4401', '6610', '6653', '6662', '6664', '6665', '8020']"
74,"['2503', '2522', '3003', '3041', '3089', '3102', '3116', '3135', '3137', '3157', '3165', '3869', '3871', '4645', '4646', '6653', '6655', '8010']"
75,"['2504', '2524', '2525', '3053', '3065', '3075', '3078', '3110', '3119', '3143', '3161', '3181', '3508', '3742', '3876', '4401', '6610', '6662', '6665', '6694']"
76,"['2503', '2510', '3041', '3078', '3089', '3100', '3102', '3107', '3135', '3137', '3146', '3152', '3157', '3161', '3165', '3181', '3504', '3869', '3870', '3871', '3877', '4628', '4645', '4646', '6610', '6617', '6620', '6621', '6653', '6655', '6657']"
77,"['2502', '2504', '2510', '2520', '2524', '2525', '3004', '3033', '3036', '3041', '3053', '3065', '3071', '3073', '3074', '3075', '3078', '3089', '3110', '3118', '3119', '3142', '3143', '3146', '3153', '3156', '3157', '3161', '3165', '3181', '3742', '3748', '3814', '4401', '4633', '4645', '6333', '6631', '6653', '6662', '6665', '6676', '6698', '8010', '8020']"
78,"['2502', '2504', '2524', '2525', '3002', '3065', '3068', '3071', '3075', '3078', '3107', '3109', '3110', '3119', '3142', '3143', '3179', '3190', '3222', '3742', '3814', '3869', '3876', '3877', '4401', '6610', '6662', '6664', '6665', '6692', '6695', '6699']"
79,"['2510', '2522', '2524', '3003', '3041', '3065', '3075', '3089', '3100', '3102', '3110', '3119', '3135', '3137', '3152', '3157', '3165', '3190', '3869', '3871', '3876', '4629', '4645', '4646', '6655', '6657', '8010']"
80,"['2517', '2520', '3033', '3053', '3071', '3142', '3153', '3156', '3161', '3179', '3814', '3869', '3876', '3877', '6333', '6609', '6610', '6676', '6692', '6694', '6695', '6697', '6698', '6701']"
81,"['2517', '2523', '3003', '3004', '3033', '3036', '3072', '3078', '3110', '3146', '3153', '3156', '3161', '3508', '4628', '6694', '6695', '6699', '3026']"
82,"['2510', '3050', '3065', '3073', '3075', '3115', '3116', '3143', '3146', '3152', '3157', '3165', '4633', '6653', '6665', '8010']"
83,"['2504', '2517', '2520', '3053', '3065', '3071', '3075', '3078', '3110', '3143', '3156', '3161', '3181', '3742', '3748', '4401', '6333', '6609', '6610', '6653', '6662', '6665', '6692', '6694', '6695', '6698']"
84,"['2510', '3041', '3089', '3100', '3102', '3135', '3146', '3152', '3157', '3165', '4633', '4645', '4646', '6653']"
85,"['3041', '3089', '3102', '3135', '3137', '3146', '3152', '3157', '3165', '3871', '4645', '4646', '6653']"
86,"['3031', '3033', '3036', '3046', '3053', '3071', '3075', '3078', '3097', '3143', '3161', '3181', '3742', '4401', '6333', '6631', '6695']"
89,"['2504', '2524', '2525', '3050', '3068', '3075', '3084', '3107', '3109', '3110', '3143', '3190', '3222', '3869', '3876', '3877', '8020']"
90,"['2503', '3003', '3041', '3089', '3116', '3118', '3135', '3137', '3157', '3165', '3871', '4645', '6653', '6655', '8010']"
91,"['2520', '3033', '3036', '3071', '3142', '3156', '3179', '3814', '6333', '6610', '6692', '6694', '6695', '6696', '6697', '6698', '6701', '3026']"
92,"['2517', '2520', '3033', '3053', '3071', '3074', '3156', '3161', '3179', '6333', '6609', '6610', '6692', '6694', '6695', '6696', '6698', '3026']"
96,"['2503', '2510', '2523', '3003', '3004', '3031', '3032', '3046', '3085', '3089', '3091', '3102', '3115', '3116', '3118', '3124', '3135', '3143', '3153', '3157', '3302', '3748', '3871', '4628', '4645', '4646', '6653', '6655', '6665', '6672', '6675']"
98,"['2502', '2504', '2510', '2524', '2525', '3050', '3065', '3068', '3075', '3084', '3109', '3110', '3143', '3190', '3742', '3748', '3869', '3876', '3877', '4401', '6662', '6664', '6665', '6675', '8020']"
99,"['2522', '3003', '3041', '3089', '3102', '3118', '3135', '3137', '3157', '3165', '3869', '3870', '3871', '4628', '4645', '4646', '6620', '6655']"
101,"['2503', '3003', '3041', '3089', '3102', '3116', '3118', '3135', '3137', '3157', '3165', '3869', '3871', '4628', '4645', '4646', '6653', '6655']"
102,"['2501', '2504', '2510', '2517', '2525', '3031', '3041', '3050', '3053', '3065', '3074', '3075', '3078', '3089', '3091', '3115', '3135', '3143', '3146', '3153', '3157', '3161', '3165', '3181', '3742', '3748', '4401', '4628', '4633', '4645', '4646', '6333', '6610', '6631', '6653', '6662', '6665', '6672', '6673', '6675', '8010']"
103,"['2503', '2522', '3041', '3089', '3100', '3102', '3118', '3135', '3137', '3146', '3157', '3165', '3871', '4628', '4629', '4645', '4646', '6653', '6655', '6657']"
104,"['2520', '3031', '3033', '3036', '3071', '3072', '3078', '3097', '3142', '3156', '3179', '3508', '3814', '6610', '6673', '6676', '6695', '6697', '6698']"
105,"['2503', '2510', '3041', '3089', '3100', '3102', '3115', '3135', '3137', '3146', '3152', '3157', '3871', '4645', '4646', '6655']"
106,"['2502', '2504', '2510', '2524', '2525', '3053', '3065', '3071', '3075', '3078', '3110', '3115', '3119', '3143', '3146', '3152', '3157', '3161', '3181', '3742', '4401', '4629', '4633', '6333', '6610', '6657', '6662', '6665', '6675']"
107,"['2520', '3031', '3033', '3036', '3071', '3074', '3142', '3179', '3508', '3814', '3877', '6333', '6676', '6692', '6694', '6695', '6696', '6697', '6698', '6699', '6701', '3026']"
110,"['2510', '2512', '2520', '3004', '3031', '3032', '3033', '3036', '3072', '3073', '3085', '3089', '3091', '3102', '3115', '3118', '3124', '3135', '3142', '3143', '3146', '3153', '3156', '3157', '3181', '3302', '3814', '4633', '4645', '4646', '6665', '6672', '6694', '6695', '6696', '6701']"
111,"['2504', '2524', '2525', '3050', '3068', '3075', '3084', '3107', '3109', '3110', '3143', '3190', '3222', '3869', '3876', '3877', '8020']"
112,"['2503', '2522', '3003', '3041', '3089', '3100', '3102', '3135', '3137', '3157', '3165', '4628', '4629', '4645', '6653', '6655', '6657', '8010']"
113,"['2502', '2504', '2510', '2524', '2525', '3050', '3065', '3068', '3075', '3083', '3084', '3109', '3110', '3116', '3119', '3143', '3190', '3742', '3869', '3876', '4401', '4629', '4633', '6653', '6662', '6664', '6665', '8020']"
114,"['2517', '3053', '3074', '3078', '3143', '3153', '3156', '3161', '3181', '6333', '6609', '6692', '6699', '3026']"
115,"['2503', '2522', '3003', '3041', '3089', '3102', '3135', '3137', '3157', '3165', '3871', '4628', '4645', '4646', '6653', '6655']"
117,"['2065', '2524', '3107', '3165', '3190', '3222', '3504', '3869', '3870', '3871', '3876', '6616', '6617', '6620', '6621']"
119,"['2512', '2523', '3031', '3033', '3036', '3046', '3072', '3094', '3097', '3139', '3142', '3156', '3508', '6673', '6676', '6695', '6697', '3026']"
120,"['2517', '2522', '3004', '3050', '3053', '3065', '3071', '3078', '3142', '3143', '3156', '3161', '4401', '6333', '6609', '6692', '6694', '6695', '6696', '6697']"
121,"['2520', '3033', '3142', '3156', '3179', '3814', '6333', '6692', '6694', '6695', '6696', '6697', '6698', '6699', '6701']"
122,"['2504', '2517', '3053', '3065', '3071', '3075', '3078', '3142', '3143', '3156', '3161', '3742', '4401', '6333', '6610', '6631', '6665']"
126,"['2520', '3004', '3033', '3071', '3142', '3156', '3161', '3179', '3814', '6609', '6692', '6694', '6695', '6697', '6701', '3026']"
127,"['2503', '3041', '3089', '3102', '3118', '3135', '3137', '3152', '3157', '3165', '3869', '3871', '4645', '4646', '6653', '6655', '6657']"
131,"['2502', '2510', '3041', '3089', '3100', '3102', '3115', '3135', '3146', '3152', '3157', '3165', '4633', '4645', '4646', '6653', '6665', '8010']"
133,"['2520', '3031', '3033', '3036', '3072', '3087', '3097', '3142', '3153', '3156', '3179', '3814', '3877', '6672', '6673', '6676', '6695', '6697', '6698', '6699', '6701', '3026']"
134,"['2503', '2522', '3003', '3041', '3089', '3102', '3135', '3137', '3157', '3871', '4628', '4629', '4645', '4646', '6655']"
136,"['2503', '2522', '3003', '3041', '3089', '3102', '3116', '3135', '3137', '3157', '3165', '3871', '4645', '6653', '6657', '8010']"
141,"['2517', '2520', '3004', '3033', '3053', '3065', '3071', '3075', '3142', '3143', '3156', '3161', '3179', '3814', '6333', '6609', '6692', '6694', '6695', '6696', '6697', '6698', '6699', '6701', '3026']"
142,"['2065', '2503', '3041', '3089', '3100', '3102', '3135', '3137', '3157', '3165', '3869', '3871', '4005', '4628', '4629', '4645', '4646', '6655']"
143,"['2503', '3041', '3089', '3102', '3116', '3118', '3135', '3137', '3157', '3165', '3869', '3871', '3876', '4005', '4645', '6653', '6655', '8010']"
145,"['2510', '2512', '3004', '3031', '3032', '3033', '3036', '3046', '3072', '3087', '3089', '3091', '3097', '3102', '3115', '3124', '3139', '3146', '3153', '3157', '3302', '4645', '6655', '6672']"
147,"['2065', '2503', '2522', '2524', '3003', '3041', '3089', '3107', '3116', '3118', '3137', '3157', '3165', '3190', '3222', '3504', '3869', '3870', '3871', '3876', '3877', '4005', '4628', '4645', '6616', '6617', '6620', '6621', '6653', '6655']"
150,"['2504', '2510', '3053', '3071', '3075', '3078', '3091', '3143', '3153', '3161', '3181', '4401', '6333', '6609', '6665']"
154,"['2502', '2504', '2524', '2525', '3041', '3050', '3065', '3068', '3075', '3143', '3152', '3157', '3190', '3869', '3876', '4633', '6653', '6664', '6665', '8010', '8020']"
157,"['2504', '2512', '3031', '3032', '3033', '3036', '3046', '3072', '3091', '3097', '3139', '3143', '3153', '6333', '6665', '6672', '6673', '3026']"
161,"['2065', '2503', '2522', '3003', '3041', '3089', '3102', '3116', '3118', '3135', '3137', '3157', '3165', '3869', '3870', '3871', '3876', '4628', '4645', '4646', '6653', '6655', '6657']"
163,"['2503', '2522', '3003', '3041', '3089', '3102', '3116', '3135', '3137', '3157', '3165', '3871', '4628', '4629', '4645', '4646', '6653', '6655', '6657', '8010']"
164,"['2517', '3053', '3074', '3078', '3156', '3161', '3179', '3181', '3748', '3869', '3877', '6333', '6609', '6610', '6692', '6695', '3026']"
166,"['2523', '3031', '3032', '3033', '3036', '3072', '3087', '3091', '3094', '3097', '3142', '3153', '3156', '3179', '3877', '6672', '6673', '6676', '6695', '6697', '6699', '3026']"
200,"['2517', '3031', '3032', '3036', '3071', '3091', '3124', '3143', '3153', '3181', '3302', '6333', '6631', '6665', '6672', '6673', '6675', '6676']"
201,"['2504', '2524', '2525', '3050', '3075', '3107', '3109', '3110', '3143', '3190', '3222', '3869', '3876', '3877']"
202,"['2523', '3031', '3033', '3036', '3046', '3072', '3094', '3097', '3142', '3156', '3814', '6673', '6676', '6695', '6697', '3026']"
203,"['2512', '2523', '3031', '3032', '3033', '3036', '3071', '3072', '3078', '3085', '3091', '3094', '3097', '3143', '3153', '3156', '3508', '6672', '6673', '6676', '6695', '3026']"
221,"['2512', '2523', '3031', '3032', '3033', '3036', '3046', '3072', '3073', '3085', '3087', '3097', '3139', '3156', '6673', '3026']"
222,"['2523', '3031', '3032', '3033', '3036', '3046', '3072', '3085', '3094', '3097', '3139', '3156', '6672', '6673', '6676', '3026']"
223,"['2502', '2504', '2510', '2524', '2525', '3041', '3065', '3068', '3075', '3083', '3084', '3109', '3110', '3143', '3190', '3742', '3748', '3869', '3871', '3876', '3877', '4401', '4633', '6664', '6665']"
233,"['2501', '2512', '2517', '2520', '3031', '3032', '3033', '3036', '3053', '3065', '3071', '3075', '3143', '3153', '3156', '3748', '3814', '3877', '6333', '6609', '6610', '6631', '6672', '6673', '6676', '6692', '6695', '6697', '6698', '6701', '3026']"
234,"['3031', '3033', '3036', '3053', '3078', '3091', '3153', '3156', '3508', '3748', '6333', '6610', '6672', '6673', '6676', '6695', '3026']"
235,"['2523', '2524', '3004', '3031', '3033', '3036', '3046', '3071', '3085', '3087', '3094', '3097', '3107', '3142', '3179', '3504', '3508', '3814', '3869', '3870', '3871', '3876', '3877', '6609', '6617', '6620', '6621', '6672', '6676', '6695', '6697']"
236,"['3031', '3033', '3036', '3071', '3072', '3094', '3097', '3139', '3156', '3508', '6672', '6673', '6675', '6676', '6695']"
238,"['2517', '2520', '3033', '3036', '3071', '3142', '3156', '3161', '3179', '3814', '6333', '6609', '6692', '6694', '6695', '6696', '6697', '6698', '6699', '6701', '3026']"
240,"['2501', '2517', '2520', '2525', '3031', '3033', '3036', '3053', '3071', '3074', '3075', '3084', '3143', '3153', '3156', '3181', '3748', '3877', '6333', '6609', '6610', '6631', '6665', '6676', '6692', '6695', '6696', '6697', '6698', '6699', '3026']"
245,"['2510', '3041', '3089', '3100', '3102', '3115', '3135', '3146', '3152', '3157', '3165', '4645', '4646']"
246,"['2520', '3142', '3156', '3179', '3814', '3877', '6333', '6692', '6694', '6695', '6696', '6697', '6698', '6701', '3026']"
254,"['2504', '2520', '3031', '3033', '3036', '3053', '3065', '3071', '3075', '3078', '3110', '3142', '3143', '3156', '3179', '3508', '3814', '3877', '6333', '6609', '6610', '6673', '6676', '6692', '6695', '6698', '6701']"
266,"['2517', '2520', '3033', '3053', '3065', '3071', '3143', '3156', '3161', '3814', '6333', '6609', '6610', '6631', '6692', '6694', '6695', '6697', '6698', '6699', '3026']"
267,"['2065', '2524', '3041', '3107', '3165', '3190', '3222', '3504', '3869', '3870', '3871', '3876', '4005', '6616', '6617', '6620', '6621']"
268,"['2510', '3041', '3089', '3102', '3115', '3116', '3135', '3157', '3165', '4645', '6653', '6655', '8010']"
350,"['2065', '2524', '3041', '3107', '3109', '3222', '3504', '3870', '3871', '3876', '4005', '6616', '6617', '6620', '6621', '6655']"
360,"['2517', '3031', '3033', '3036', '3072', '3139', '3156', '6333', '6673', '6676', '6697', '3026']"
412,"['2504', '2524', '2525', '3050', '3075', '3107', '3109', '3110', '3143', '3190', '3222', '3869', '3876', '3877', '4401', '8020']"
420,"['2501', '2504', '2517', '3053', '3065', '3071', '3075', '3078', '3084', '3110', '3119', '3143', '3146', '3156', '3161', '3181', '6333', '6609', '6610', '6631', '6662', '6665', '6699']"
421,"['2501', '2502', '2504', '2517', '3033', '3053', '3065', '3071', '3075', '3142', '3143', '3156', '3161', '3181', '3748', '3814', '3877', '6333', '6609', '6610', '6631', '6665', '6676', '6692', '6695']"
427,"['2065', '2510', '2524', '3041', '3089', '3100', '3107', '3109', '3115', '3116', '3118', '3157', '3165', '3190', '3222', '3504', '3870', '3871', '4629', '6616', '6617', '6620', '6621', '6653', '8010']"
429,"['3031', '3032', '3033', '3036', '3072', '3085', '3091', '3115', '3124', '3139', '3143', '3146', '3153', '3302', '3814', '6665', '6672', '6673', '3026']"
432,"['2065', '2504', '2524', '2525', '3002', '3041', '3091', '3107', '3109', '3110', '3143', '3165', '3190', '3222', '3742', '3869', '3870', '3871', '3876', '3877', '4005', '4401', '6653', '6665', '8020']"
497,"['2065', '2524', '2525', '3050', '3075', '3107', '3109', '3110', '3152', '3190', '3222', '3869', '3870', '3871', '3876', '3877', '6620', '6655', '8020']"
498,"['2512', '3031', '3032', '3033', '3036', '3046', '3072', '3097', '3139', '3156', '3508', '6672', '6673', '6675', '6676', '3026']"
516,"['2502', '2504', '2524', '2525', '3068', '3075', '3083', '3084', '3109', '3110', '3119', '3143', '3190', '3869', '4401', '6664', '6665', '8020']"
517,"['2503', '2510', '3041', '3089', '3100', '3102', '3135', '3137', '3146', '3152', '3157', '3165', '3869', '3871', '3877', '4629', '4633', '4645', '4646', '6655', '6657', '8010']"
518,"['2065', '2510', '2524', '3041', '3089', '3102', '3107', '3110', '3115', '3118', '3124', '3135', '3137', '3152', '3153', '3157', '3165', '3869', '3871', '3876', '4645', '4646', '6655', '8020']"
523,"['2523', '3031', '3032', '3033', '3036', '3046', '3072', '3085', '3094', '3097', '3139', '3156', '6673', '6676', '3026']"
526,"['2504', '2524', '2525', '3002', '3050', '3075', '3107', '3109', '3110', '3143', '3190', '3222', '3869', '3876', '3877', '8020']"
555,"['2520', '3110', '3142', '3156', '3179', '3814', '3869', '3876', '3877', '6333', '6695', '6696', '6697', '6698', '6699', '6701', '3026']"
711,"['2503', '2522', '3041', '3089', '3102', '3118', '3135', '3137', '3157', '3165', '3871', '4629', '4645', '4646', '6653', '6655']"
777,"['2512', '3031', '3032', '3033', '3036', '3046', '3072', '3091', '3097', '3139', '3143', '3153', '6333', '6665', '6672', '6673', '3026']"
799,"['2517', '2520', '3033', '3053', '3071', '3156', '3161', '3814', '6333', '6609', '6610', '6692', '6694', '6695', '6696', '6697', '6698', '6699', '6701']"
800,"['2503', '2522', '3003', '3041', '3089', '3102', '3116', '3135', '3137', '3157', '3165', '3869', '3871', '4628', '4629', '4645', '4646', '6653', '6655', '8010']"
